movie_id,genre
1003277,Drama
1010173,Biography
1010173,History
1010173,Drama
1001734,Drama
1154143,Drama
1003419,Drama
1005653,Comedy
1010338,Short
1010338,Drama
1010304,Comedy
1010304,Adventure
1011607,Drama
1011607,Family
1004868,Comedy
1010956,Comedy
1010956,Family
1010956,Thriller
1011006,Comedy
1011006,Romance
1011006,Thriller
1011708,Drama
1690008,Thriller
1690008,Romance
1690008,Drama
1009698,Comedy
1010231,Comedy
1010231,Family
1010231,Drama
1010207,Comedy
1010207,Thriller
1010207,Adventure
1010102,Comedy
1010102,Comedy
2026762,Drama
1009777,Drama
1009777,Drama
1172730,Drama
1172730,History
1010026,Musical
1010026,Drama
1009711,Comedy
1009711,Drama
1009711,Musical
2056986,Action
2056986,Science Fiction
2056986,Adventure
1951363,Drama
1951363,Crime
1002404,Crime
1002404,Thriller
1002404,Drama
1001553,Crime
1001553,Drama
1001553,Thriller
1001553,Animation
1001525,Comedy
1010932,Drama
1010932,Crime
1010932,Thriller
1007823,Drama
2037231,Documentary
1010742,Drama
1010742,Romance
1009554,Drama
1011303,Comedy
1139916,Thriller
1001493,Drama
1009116,Crime
1002200,Drama
1002200,Romance
1002200,Comedy
1189708,Musical
1189708,Drama
1189708,Adventure
1002466,Drama
1002466,Comedy
1002466,Musical
1000837,Drama
1200416,Action
1200416,Crime
1005882,Drama
1005882,Comedy
1010150,Comedy
1010150,Romance
1010161,Thriller
1010161,Drama
1008307,Drama
1008307,Comedy
1008307,Romance
1010833,Drama
1007200,Drama
1005775,Drama
1007200,Drama
1865087,Drama
1004198,Comedy
2053409,Thriller
2053409,Crime
2046503,Musical
2046503,Family
1743349,Drama
1011338,Comedy
1011129,Thriller
1011129,Action
1472598,Romance
1472598,Drama
1006729,Drama
